WineID,Type,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,Quality
112,Red,6.84,0.42,0.04,3.67,0.089,24.5,6.0,0.9976,3.26,0.7,10.51,5
113,Red,7.68,0.38,0.09,2.61,0.129,36.6,6.0,0.9948,3.47,0.57,8.4,5
114,Red,8.44,0.69,0.14,2.6,0.19,20.9,22.8,0.9984,3.22,1.06,9.28,5
115,Red,7.35,0.54,0.07,2.53,0.155,36.4,94.9,0.9988,3.52,0.57,11.37,6
116,Red,11.07,0.68,0.29,3.6,0.106,16.7,84.5,0.9941,3.04,0.77,11.16,6
117,Red,9.06,0.38,0.45,0.9,0.095,16.7,14.7,0.9945,3.39,0.7,9.77,5
118,Red,8.38,0.41,0.52,3.96,0.063,5.9,93.2,0.9998,3.32,0.75,10.75,5
119,Red,12.79,0.67,0.14,2.59,0.06,11.6,20.5,0.9978,3.53,0.86,11.26,6
120,Red,7.12,0.63,0.19,0.9,0.119,16.3,29.5,0.9947,3.4,0.79,10.62,6
121,Red,8.41,0.73,0.36,5.96,0.056,10.3,39.1,0.9996,3.51,0.7,11.55,7
122,Red,5.66,0.43,0.27,2.51,0.13,9.2,102.4,0.9979,3.39,0.76,10.39,7
123,Red,4.65,0.63,0.14,1.92,0.106,22.0,6.0,0.9936,3.42,0.91,10.25,6
124,Red,7.32,0.32,0.13,3.76,0.109,9.2,116.7,0.9992,3.36,0.76,10.97,6
125,Red,7.84,0.65,0.0,2.6,0.079,27.7,74.7,0.9971,3.05,0.54,11.49,5
126,Red,8.6,0.36,0.25,1.95,0.093,7.4,74.3,0.9987,3.12,0.6,12.02,7
127,Red,6.29,1.01,0.35,2.5,0.107,8.9,8.9,0.9977,3.38,0.42,11.18,5
128,Red,8.38,0.55,0.22,2.96,0.037,18.8,52.5,0.9985,3.09,0.58,11.6,5
129,Red,10.83,0.43,0.32,1.99,0.118,16.7,42.7,0.9973,3.49,0.73,12.7,7
130,Red,10.53,0.4,0.41,1.24,0.168,22.1,14.6,0.9983,3.31,0.57,12.06,5
131,Red,9.23,0.69,0.07,1.43,0.156,16.6,18.1,0.9968,3.06,0.73,10.3,5
132,Red,6.82,0.63,0.0,4.03,0.012,3.5,18.3,0.9978,3.26,0.9,8.57,4
133,Red,7.97,0.51,0.29,2.29,0.118,16.9,64.1,0.9982,3.65,0.94,10.97,6
134,Red,8.57,0.43,0.67,0.9,0.123,1.0,24.3,0.9998,3.28,0.67,11.46,6
135,Red,10.6,0.49,0.04,4.55,0.012,13.9,89.0,0.9968,3.26,0.73,12.24,6
136,Red,10.13,0.42,0.62,0.9,0.07,1.0,74.0,0.9949,3.2,0.92,12.51,5
137,Red,6.34,0.42,0.56,3.02,0.107,14.0,21.2,0.9972,3.07,0.49,12.07,7
138,Red,5.86,0.63,0.47,2.91,0.012,7.2,64.6,0.9961,3.32,0.81,12.65,5
139,Red,9.18,0.51,0.22,4.21,0.053,11.8,15.7,0.9989,3.11,0.49,11.52,5
140,Red,7.82,0.48,0.63,3.01,0.072,4.5,13.5,0.9958,3.52,0.76,12.1,7
141,Red,10.22,0.31,0.42,3.07,0.04,2.3,41.3,0.9962,3.21,0.48,10.61,5
142,Red,5.03,0.45,0.0,1.06,0.047,17.2,11.4,0.9968,3.03,0.45,11.82,5
143,Red,8.93,0.58,0.31,3.16,0.038,3.4,6.0,0.9933,3.19,0.55,10.36,6
144,Red,7.42,0.57,0.49,0.9,0.096,31.9,40.9,0.9948,3.03,0.84,11.16,6
145,Red,10.37,0.58,0.61,3.9,0.076,1.0,62.0,0.9949,3.15,0.44,10.37,5
146,Red,8.36,0.43,0.48,1.41,0.139,11.7,50.0,0.9948,3.4,0.64,10.95,5
147,Red,7.97,0.72,0.54,3.8,0.028,16.0,70.7,0.9952,3.0,0.78,10.92,5
148,Red,8.95,0.51,0.42,0.9,0.104,26.4,53.2,0.9947,3.57,0.72,10.61,4
149,Red,8.45,0.28,0.21,1.71,0.167,7.9,8.1,0.9943,3.62,0.79,10.61,5
150,Red,8.69,0.25,0.43,4.76,0.14,23.5,6.0,0.9989,3.19,0.35,9.8,5
151,Red,9.49,0.62,0.48,2.79,0.162,19.1,56.1,0.9977,3.21,0.72,10.1,6
152,Red,9.85,0.45,0.12,0.9,0.134,24.3,93.0,0.9944,3.32,0.83,11.16,6
153,Red,7.41,0.78,0.13,4.33,0.097,4.6,9.3,0.9931,3.4,0.52,9.97,5
154,Red,10.32,0.53,0.08,1.4,0.103,12.7,22.8,0.9979,3.46,0.52,10.38,4
155,Red,7.2,0.9,0.62,2.51,0.111,21.1,20.8,0.9934,3.34,0.64,10.27,5
156,Red,9.14,0.43,0.25,2.01,0.093,25.8,46.9,0.9964,3.43,0.97,9.62,7
157,Red,7.36,0.69,0.11,2.76,0.059,1.0,12.1,0.9958,3.55,0.73,10.35,5
158,Red,7.49,0.44,0.38,1.5,0.142,14.9,38.7,0.9983,3.1,0.76,11.23,7
159,Red,9.29,0.38,0.59,2.99,0.135,30.8,63.0,0.9951,3.11,0.75,11.11,7
160,Red,10.68,0.44,0.48,0.9,0.172,18.0,43.1,0.9973,3.29,0.33,11.21,5
161,Red,6.03,0.64,0.37,0.9,0.071,16.9,75.4,0.9997,3.31,0.65,11.82,5
162,Red,7.7,0.57,0.39,3.53,0.031,24.5,40.4,0.9968,3.15,0.9,11.69,6
163,Red,7.88,0.64,0.31,1.62,0.012,15.7,62.3,0.9967,3.34,0.62,9.42,6
164,Red,6.59,0.63,0.23,2.3,0.095,31.6,22.6,0.9945,3.35,0.75,11.48,5
165,Red,12.74,0.66,0.31,2.32,0.042,16.9,69.5,0.9944,3.5,0.41,10.07,5
166,Red,8.41,0.51,0.45,0.9,0.087,20.4,29.3,0.9974,3.6,0.88,9.59,6
167,Red,9.22,0.39,0.19,0.9,0.074,18.2,51.0,0.9946,3.6,1.03,12.0,7
168,Red,8.16,0.51,0.17,3.31,0.067,18.7,26.6,0.9955,3.28,0.81,11.63,6
169,Red,9.31,0.52,0.31,2.82,0.018,1.0,45.2,0.9949,3.44,0.71,10.3,7
170,Red,6.73,0.76,0.0,3.2,0.056,15.0,94.7,0.9934,3.27,0.54,9.99,6
171,Red,9.42,0.47,0.3,1.33,0.078,4.7,18.0,0.9954,3.15,0.33,11.37,5
172,Red,5.02,0.65,0.41,2.91,0.065,11.4,104.6,0.9953,3.24,0.4,11.2,5
173,Red,9.54,0.42,0.38,2.89,0.123,16.4,41.2,0.9952,3.26,0.43,12.02,6
174,Red,7.18,0.51,0.12,5.16,0.077,1.7,51.0,0.9969,3.18,0.67,11.95,7
175,Red,5.89,0.44,0.1,3.04,0.052,17.1,29.4,0.9983,3.3,0.78,10.92,5
176,Red,7.08,0.34,0.17,4.76,0.012,23.2,36.5,0.9942,3.15,0.5,8.73,5
177,Red,4.81,0.49,0.52,1.54,0.088,36.5,14.5,0.9966,3.17,0.77,10.34,5
178,Red,7.97,0.44,0.36,0.9,0.012,4.4,64.5,0.9955,3.24,0.8,10.17,5
179,Red,9.58,0.73,0.37,3.71,0.087,14.1,6.0,0.9939,3.3,0.66,9.87,6
180,Red,11.84,0.65,0.39,1.25,0.014,41.3,34.7,0.9977,3.21,0.67,11.63,5
181,Red,5.81,0.65,0.41,1.86,0.012,33.7,91.4,0.9988,3.49,0.55,9.9,5
182,Red,8.49,0.54,0.14,2.83,0.101,1.0,54.0,0.9974,3.35,0.57,12.29,7
183,Red,6.37,0.39,0.27,1.54,0.146,31.4,6.0,0.9968,3.29,0.33,10.49,5
184,Red,8.43,0.67,0.37,4.68,0.121,23.0,13.2,0.9986,2.88,0.54,10.95,7
185,Red,5.8,0.66,0.0,1.65,0.113,20.6,33.5,0.9961,3.37,0.48,12.69,7
186,Red,7.19,0.26,0.22,0.9,0.099,12.9,21.0,0.9955,3.24,0.77,12.56,5
187,Red,7.59,0.33,0.24,2.8,0.123,10.8,90.7,0.9943,3.25,0.6,12.39,6
188,Red,7.36,0.34,0.35,3.18,0.012,12.5,61.1,0.9949,3.4,0.51,10.3,5
189,Red,6.64,0.47,0.37,1.75,0.128,6.8,50.3,0.9954,3.2,0.88,10.92,5
190,Red,6.66,0.49,0.5,1.5,0.104,2.8,13.0,0.9988,3.43,0.49,10.32,6
191,Red,5.86,0.54,0.19,2.34,0.114,9.7,67.9,0.9957,3.28,0.66,10.33,5
192,Red,6.12,0.34,0.32,2.93,0.077,14.6,45.4,0.9992,3.36,0.65,11.26,7
193,Red,7.49,0.5,0.06,3.15,0.154,20.1,62.9,0.9961,3.19,0.55,11.84,6
194,Red,7.68,0.7,0.2,1.98,0.112,38.9,6.4,0.9963,3.57,0.66,11.8,6
195,Red,6.72,0.44,0.09,6.05,0.127,20.5,15.6,0.9965,3.3,0.65,10.7,5
196,Red,7.65,0.44,0.16,1.81,0.112,12.9,81.5,0.9966,3.28,0.33,10.46,5
197,Red,7.28,0.33,0.0,1.04,0.086,18.4,93.5,0.9962,3.18,0.76,10.49,5
198,Red,7.51,0.35,0.56,1.5,0.129,24.9,77.3,0.997,3.26,0.62,9.57,6
199,Red,8.16,0.61,0.41,3.24,0.054,25.9,22.0,0.9969,3.2,0.66,9.42,6
200,Red,5.52,0.44,0.0,4.6,0.121,23.7,12.8,0.9989,3.04,0.8,10.91,5
201,Red,9.79,0.45,0.45,2.36,0.149,27.2,51.0,0.9963,3.24,0.68,11.47,5
202,Red,8.38,0.41,0.54,3.53,0.012,13.8,20.2,0.9979,3.44,1.04,11.12,6
203,Red,8.27,0.65,0.61,1.9,0.084,3.5,39.6,0.9966,3.15,0.44,9.93,4
204,Red,9.61,0.64,0.28,1.42,0.058,10.1,56.2,0.9938,3.14,0.65,10.18,6
205,Red,11.09,0.59,0.19,4.99,0.012,3.8,6.0,0.9979,3.24,0.33,9.64,4
206,Red,9.54,0.49,0.48,3.07,0.012,18.4,18.5,0.9948,3.37,0.76,11.49,6
207,Red,13.05,0.61,0.12,0.9,0.092,3.4,47.1,0.9998,3.27,0.62,10.42,6
208,Red,6.44,0.12,0.35,0.9,0.084,9.0,6.0,0.9958,3.48,0.8,11.88,8
209,Red,8.32,0.26,0.49,3.05,0.072,24.9,63.0,0.9976,3.07,0.74,11.78,5
210,Red,8.06,0.37,0.26,2.04,0.108,5.6,49.1,0.9967,3.3,0.33,11.25,7
211,Red,9.8,0.3,0.43,4.6,0.141,7.3,6.0,0.9972,3.1,0.33,9.82,5
212,Red,9.09,0.42,0.24,1.21,0.041,21.1,45.7,0.9971,3.41,0.9,10.88,5
213,Red,8.6,0.38,0.03,3.58,0.114,16.4,14.6,0.9965,3.37,0.9,9.7,5
214,Red,7.7,0.38,0.35,3.96,0.095,20.2,114.1,0.9988,3.06,0.77,9.84,3
215,Red,6.73,0.44,0.44,6.46,0.083,34.0,54.4,0.9957,3.35,0.49,10.93,5
216,Red,6.59,0.6,0.45,0.9,0.096,20.2,45.7,0.9974,3.26,0.59,11.09,7
217,Red,6.73,0.5,0.0,1.98,0.056,27.2,62.7,0.9923,3.33,0.68,9.6,4
218,Red,7.76,0.85,0.42,3.56,0.138,1.0,132.7,0.9966,3.21,0.71,10.11,5
219,Red,9.5,0.22,0.37,3.82,0.072,6.6,88.5,0.9943,3.57,0.86,12.49,7
220,Red,7.15,0.41,0.17,1.84,0.046,10.9,28.9,0.9985,3.42,0.72,10.71,5
221,Red,6.42,0.32,0.65,0.9,0.146,7.2,90.2,1.0003,3.28,0.61,11.9,6
222,Red,9.24,0.63,0.25,4.82,0.104,13.8,29.7,0.9939,3.09,0.89,11.02,5
223,Red,4.99,0.75,0.28,0.9,0.094,13.2,111.6,0.9974,3.48,0.48,11.19,5
224,Red,8.9,0.56,0.0,2.35,0.16,25.4,12.7,0.9945,3.49,0.88,10.61,5
225,Red,7.37,0.22,0.36,4.67,0.097,21.9,68.4,0.9981,3.45,0.7,10.65,5
226,Red,6.14,0.68,0.25,1.78,0.134,13.6,79.4,0.9931,3.32,0.46,10.52,5
227,Red,7.36,0.51,0.0,2.28,0.038,12.0,25.9,0.9969,3.23,0.46,10.17,5
228,Red,8.17,0.12,0.2,1.01,0.085,1.0,93.0,0.997,3.63,0.49,10.06,5
229,Red,7.53,0.47,0.57,2.93,0.107,12.5,62.4,0.9986,3.45,1.0,10.37,5
230,Red,7.41,0.45,0.23,3.16,0.012,21.6,89.4,0.9933,3.34,0.96,10.7,5
231,Red,8.05,0.52,0.45,1.25,0.026,20.0,49.5,0.9957,3.25,0.85,9.76,5
232,Red,9.25,0.56,0.66,2.87,0.134,15.0,118.4,0.9929,3.06,0.76,10.3,6
233,Red,7.29,0.32,0.71,1.83,0.128,5.8,54.9,0.9966,3.17,0.56,10.7,6
234,Red,6.41,0.55,0.21,1.05,0.149,29.9,56.1,0.9996,3.32,0.49,10.81,6
235,Red,5.71,0.38,0.53,2.56,0.012,22.0,74.7,0.9954,3.5,0.53,10.73,5
236,Red,6.92,0.91,0.27,3.34,0.074,7.7,12.2,0.9972,3.37,0.69,9.9,5
237,Red,6.37,0.33,0.25,3.47,0.034,3.5,6.0,0.9957,3.29,0.89,10.71,5
238,Red,10.9,0.3,0.49,0.9,0.012,2.2,20.6,0.9999,3.45,0.48,10.69,5
239,Red,9.22,0.68,0.3,1.69,0.012,16.3,27.7,0.9938,3.3,0.67,10.61,5
240,Red,6.73,0.41,0.58,0.9,0.102,38.5,16.6,0.9974,3.2,0.7,10.46,5
241,Red,7.31,0.71,0.32,4.3,0.12,1.0,6.0,0.9954,3.32,0.62,10.42,5
242,Red,10.06,0.67,0.29,2.5,0.098,6.5,20.2,0.9959,3.3,0.76,11.79,5
243,Red,8.64,0.63,0.39,2.58,0.043,5.5,19.7,0.998,3.22,0.36,12.17,6
244,Red,7.79,0.83,0.3,2.47,0.108,2.1,35.7,0.9962,3.14,0.48,10.57,5
245,Red,8.74,0.12,0.11,2.01,0.118,14.0,78.1,0.996,3.18,0.57,10.61,5
246,Red,10.75,0.22,0.0,3.48,0.027,9.1,30.5,0.995,3.41,0.68,12.35,6
247,Red,10.64,0.44,0.48,3.3,0.088,5.6,62.9,0.9908,3.35,0.4,11.16,5
248,Red,10.0,0.56,0.36,3.94,0.012,5.5,65.0,0.9956,3.18,0.5,9.36,5
249,Red,9.42,0.84,0.34,2.86,0.056,17.6,26.2,0.9954,3.39,0.48,11.33,6
250,Red,8.25,0.6,0.19,4.35,0.124,12.1,31.2,0.9966,3.28,0.96,11.27,5
251,Red,9.66,0.65,0.6,3.27,0.096,18.9,6.0,1.0008,3.16,0.57,10.7,5
252,Red,9.73,0.42,0.27,0.9,0.059,1.0,14.6,0.9986,3.41,0.51,9.73,5
253,Red,7.88,0.17,0.01,1.44,0.012,12.9,85.3,0.9994,3.28,0.68,11.63,6
254,Red,6.56,0.35,0.34,3.76,0.098,20.9,63.1,0.9945,3.35,0.53,12.71,6
255,Red,9.58,0.56,0.2,1.47,0.099,20.1,103.0,0.9935,3.2,0.6,11.06,5
256,Red,6.26,0.26,0.0,5.45,0.166,23.2,34.9,0.9939,3.17,0.6,11.02,6
257,Red,7.1,0.31,0.42,0.92,0.055,17.8,50.1,0.9974,2.99,0.88,10.61,7
258,Red,10.19,0.2,0.4,1.15,0.081,25.6,58.5,0.9998,3.14,0.59,10.76,6
259,Red,7.1,0.52,0.31,3.79,0.046,24.1,56.2,0.9999,3.2,0.67,11.03,5
260,Red,7.22,0.25,0.44,4.08,0.059,18.5,6.0,0.9963,3.22,1.08,9.36,4
261,Red,11.17,0.24,0.16,2.47,0.079,5.4,43.3,0.9944,3.44,0.44,10.41,7
262,Red,7.68,0.64,0.19,0.92,0.134,14.7,19.6,0.9989,2.98,0.51,10.99,6
263,Red,6.92,0.33,0.28,4.36,0.092,21.2,6.0,0.9985,3.35,0.79,10.88,6
264,Red,7.92,0.51,0.23,5.33,0.075,11.4,56.7,0.9974,3.26,0.53,12.45,7
265,Red,8.45,0.51,0.05,3.66,0.113,22.1,6.0,0.9956,3.13,0.65,8.56,5
